iter	Passed	Remaining
678	1271	600
679	1272	598
680	1274	596
681	1275	594
682	1276	592
683	1278	590
684	1279	588
685	1281	586
686	1282	584
687	1284	582
688	1287	580
689	1288	578
690	1289	576
691	1291	574
692	1292	572
693	1293	570
694	1295	568
695	1296	566
696	1297	564
697	1300	562
698	1301	560
699	1303	558
700	1304	556
701	1306	554
702	1307	552
703	1308	550
704	1310	548
705	1311	546
706	1312	544
707	1315	542
708	1317	540
709	1318	538
710	1320	536
711	1321	534
712	1323	532
713	1324	530
714	1326	528
715	1327	526
716	1330	525
717	1331	523
718	1333	521
719	1334	519
720	1336	517
721	1337	514
722	1338	512
723	1339	510
724	1341	508
725	1342	506
726	1345	505
727	1347	503
728	1348	501
729	1350	499
730	1351	497
731	1352	495
732	1354	493
733	1355	491
734	1356	489
735	1358	487
736	1361	485
737	1363	483
738	1364	481
739	1365	479
740	1367	477
741	1368	475
742	1369	473
743	1371	471
744	1374	470
745	1376	468
746	1378	466
747	1379	464
748	1380	462
749	1382	460
750	1383	458
751	1385	456
752	1386	454
753	1389	453
754	1391	451
755	1392	449
756	1393	447
757	1395	445
758	1396	443
759	1398	441
760	1399	439
761	1400	437
762	1402	435
763	1404	433
764	1406	432
765	1408	430
766	1409	428
767	1410	426
768	1412	424
769	1413	422
770	1414	420
771	1416	418
772	1418	416
773	1419	414
774	1421	412
775	1422	410
776	1424	408
777	1425	406
778	1426	404
779	1428	402
780	1429	400
781	1431	398
782	1433	397
783	1435	395
784	1436	393
785	1438	391
786	1439	389
787	1440	387
788	1442	385
789	1443	383
790	1444	381
791	1446	379
792	1448	378
793	1449	376
794	1451	374
795	1452	372
796	1454	370
797	1455	368
798	1457	366
799	1458	364
800	1460	362
801	1463	361
802	1464	359
803	1466	357
804	1467	355
805	1469	353
806	1470	351
807	1472	349
808	1473	347
809	1474	345
810	1476	344
811	1478	342
812	1480	340
813	1481	338
814	1483	336
815	1484	334
816	1486	332
817	1487	330
818	1488	329
819	1490	327
820	1493	325
821	1494	323
822	1495	321
823	1497	319
824	1498	317
825	1500	316
826	1501	314
827	1503	312
828	1504	310
829	1506	308
830	1507	306
831	1509	304
832	1510	302
833	1512	301
834	1513	299
835	1515	297
836	1516	295
837	1517	293
838	1519	291
839	1521	289
840	1523	287
841	1524	286
842	1526	284
843	1527	282
844	1529	280
845	1530	278
846	1531	276
847	1533	274
848	1535	273
849	1537	271
850	1538	269
851	1540	267
852	1541	265
853	1543	263
854	1544	261
855	1546	260
856	1547	258
857	1549	256
858	1551	254
859	1553	252
860	1554	250
861	1555	249
862	1557	247
863	1558	245
864	1560	243
865	1561	241
866	1562	239
867	1565	238
868	1567	236
869	1568	234
870	1570	232
871	1571	230
872	1573	228
873	1574	227
874	1575	225
875	1577	223
876	1579	221
877	1581	219
878	1583	217
879	1584	216
880	1586	214
881	1587	212
882	1588	210
883	1590	208
884	1591	206
885	1595	205
886	1596	203
887	1598	201
888	1599	199
889	1601	197
890	1602	196
891	1604	194
892	1605	192
893	1606	190
894	1609	188
895	1611	187
896	1612	185
897	1614	183
898	1615	181
899	1617	179
900	1618	177
901	1620	176
902	1621	174
903	1623	172
904	1625	170
905	1627	168
906	1628	166
907	1629	165
908	1631	163
909	1632	161
910	1633	159
911	1635	157
912	1636	155
913	1639	154
914	1641	152
915	1642	150
916	1644	148
917	1645	147
918	1647	145
919	1648	143
920	1649	141
921	1651	139
922	1653	137
923	1655	136
924	1656	134
925	1658	132
926	1659	130
927	1661	128
928	1662	127
929	1663	125
930	1665	123
931	1666	121
932	1669	119
933	1670	118
934	1672	116
935	1673	114
936	1675	112
937	1676	110
938	1678	109
939	1679	107
940	1681	105
941	1683	103
942	1685	101
943	1687	100
944	1688	98
945	1689	96
946	1691	94
947	1692	92
948	1694	91
949	1696	89
950	1698	87
951	1699	85
952	1701	83
953	1702	82
954	1704	80
955	1705	78
956	1707	76
957	1708	74
958	1709	73
959	1712	71
960	1714	69
961	1716	67
962	1717	65
963	1718	64
964	1720	62
965	1721	60
966	1722	58
967	1724	57
968	1726	55
969	1728	53
970	1730	51
971	1731	49
972	1733	48
973	1734	46
974	1736	44
975	1737	42
976	1738	40
977	1740	39
978	1742	37
979	1744	35
980	1745	33
981	1747	32
982	1748	30
983	1750	28
984	1751	26
985	1752	24
986	1754	23
987	1756	21
988	1758	19
989	1759	17
990	1760	15
991	1762	14
992	1763	12
993	1765	10
994	1766	8
995	1768	7
996	1772	5
997	1773	3
998	1775	1
999	1776	0
